year,country,occ,occ_dp,move,comm,comm_t,phys,skill,age,family,mwage,uwage,pwage,pwage_r,bwage,bwage_r,hours,temp,cond_l,cond_c,strike,relig,othwork,iap,attend,freq,proof,firsan,firsan_d,firsan_r,secsan,secsan_d,secsan_r,thirsan,thirsan_d,thirsan_r,fursan,fursan_d,fursan_r,volsan,volsan_d,volsan_r,attsan,attsan_d,attsan_r,actsan,actsan_d,actsan_r,cntry,occup,wage,oth,jsr,vol,ref,rep,fail,conditionality,conditions,sanctions
1995,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
1996,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
1997,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
1998,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
1999,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
2000,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
2001,Spain,Unlimited protection,.a,1,1,,1,1,0,0,0,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,1,.a,1,,,,,,,,,,1,.a,1,0,4,1,0,4,1,Spain,0,1,5,1,6,6,6,3,.50518149,.29166666,.875
2002,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2003,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2004,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2005,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2006,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2007,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2008,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2009,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2010,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2011,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
2012,Spain,Permitted period,52,1,1,2,1,1,0,1,1,1,0,.a,0,.a,0,0,0,0,0,0,0,0,1,999,1,0,12,1,0,26,1,1,.a,1,,,,1,.a,1,0,4,1,0,4,1,Spain,2,4,4,1,6,4,6,3,.602368,.45833334,.79166669
1980,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,5.6,1,,,,,,,0,4,1,0,5.6,1,999,,1,,,,Sweden,6,2,2,0,2,3,0,0,.29462782,.41666666,.20833333
1981,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,5.6,1,,,,,,,0,4,1,0,5.6,1,999,,1,,,,Sweden,6,2,2,0,2,3,0,0,.29462782,.41666666,.20833333
1982,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,6,1,,,,,,,0,6,1,0,6,1,999,,1,,,,Sweden,6,2,2,0,2,3,1,0,.3227486,.41666666,.25
1983,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1984,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1985,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1986,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1987,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1988,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,5,1,999,,1,,,,Sweden,6,2,2,0,2,2,1,0,.29462782,.41666666,.20833333
1989,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,5,1,999,,1,,,,Sweden,6,2,2,0,2,2,1,0,.29462782,.41666666,.20833333
1990,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,5,1,999,,1,,,,Sweden,6,2,2,0,2,2,1,0,.29462782,.41666666,.20833333
1991,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,5,1,999,,1,,,,Sweden,6,2,2,0,2,2,1,0,.29462782,.41666666,.20833333
1992,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,5,1,999,,1,,,,Sweden,6,2,2,0,2,2,1,0,.29462782,.41666666,.20833333
1993,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1994,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,4,1,,,,,,,0,4,1,0,4,1,999,,1,,,,Sweden,6,2,2,0,1,2,1,0,.26352313,.41666666,.16666667
1995,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,12,1,,,,,,,0,16,1,0,9,1,999,,1,,,,Sweden,6,2,2,0,3,4,3,0,.41666666,.41666666,.41666666
1996,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,12,1,,,,,,,0,16,1,0,9,1,999,,1,,,,Sweden,6,2,2,0,3,4,3,0,.41666666,.41666666,.41666666
1997,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,12,1,,,,,,,0,16,1,0,9,1,999,,1,,,,Sweden,6,2,2,0,3,4,3,0,.41666666,.41666666,.41666666
1998,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,12,1,,,,,,,0,16,1,0,9,1,999,,1,,,,Sweden,6,2,2,0,3,4,3,0,.41666666,.41666666,.41666666
1999,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,0,1,,0,0,12,1,,,,,,,0,16,1,0,9,1,999,,1,,,,Sweden,6,2,2,0,3,4,3,0,.41666666,.41666666,.41666666
2000,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2001,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2002,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2003,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2004,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2005,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2006,Sweden,Permitted period,14.3,0,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,1,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,4,2,2,3,3,2,6,1,.47871354,.45833334,.5
2007,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,2,2,4,3,2,6,1,.54006171,.58333331,.5
2008,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,2,2,4,3,2,6,1,.54006171,.58333331,.5
2009,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,2,2,4,3,2,6,1,.54006171,.58333331,.5
2010,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,2,2,4,3,2,6,1,.54006171,.58333331,.5
2011,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,1,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,4,2,4,3,2,6,1,.57735026,.66666669,.5
2012,Sweden,No right to refuse,0,1,1,3,1,1,0,1,1,1,0,.a,1,.9,0,0,1,1,0,0,1,2,1,26,1,0,8,.25,0,8,.5,1,.a,1,,,,0,9,1,999,,1,999,,1,Sweden,6,4,3,4,3,2,6,1,.59511906,.70833331,.5
1982,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,,,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,0,2,3,1,4,.22821774,.125,.41666666
1983,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1984,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1985,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1986,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1987,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1988,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1989,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1990,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1991,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,0,2,4,2,3,1,4,.3227486,.25,.41666666
1992,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1993,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1994,Switzerland,Unlimited protection,.a,1,1,,1,1,1,1,0,1,0,.a,1,1,0,0,1,1,1,0,0,0,1,.5,1,0,8,1,,,,,,,,,,0,8,1,0,8,1,0,8,1,Switzerland,0,1,2,4,2,3,1,4,.34860834,.29166666,.41666666
1995,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,.5,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,4,4,4,1,5,.41247895,.29166666,.58333331
1996,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,4,4,4,1,5,.41247895,.29166666,.58333331
1997,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,4,4,4,1,5,.41247895,.29166666,.58333331
1998,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,2,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,4,4,4,1,5,.41247895,.29166666,.58333331
1999,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2000,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2001,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2002,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2003,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2004,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2005,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2006,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2007,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2008,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2009,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2010,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,4,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2011,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,8,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
2012,Switzerland,Unlimited protection,.a,1,1,4,1,1,1,1,0,1,1,.7,0,.a,0,0,1,1,1,0,0,0,1,8,1,0,12,1,,,,,,,,,,0,12,1,0,12,1,0,12,1,Switzerland,0,1,2,3,4,4,1,5,.3818813,.25,.58333331
1980,United Kingdom,Permitted period,,,1,,0,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,5,0,2,3,1,0,.25,.25,.25
1981,United Kingdom,Permitted period,,,1,,0,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,5,0,2,3,1,0,.25,.25,.25
1982,United Kingdom,Permitted period,,,1,,0,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,5,0,2,3,1,0,.25,.25,.25
1983,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,4,0,2,3,1,0,.22821774,.20833333,.25
1984,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,4,0,2,3,1,0,.22821774,.20833333,.25
1985,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,,0,0,6,1,,,,,,,,,,0,6,1,999,,1,,,,United Kingdom,1,0,4,0,2,3,1,0,.22821774,.20833333,.25
1986,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,26,1,0,13,1,,,,,,,,,,0,13,1,999,,1,,,,United Kingdom,1,0,4,2,4,4,1,0,.3307189,.29166666,.375
1987,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,26,1,0,13,1,,,,,,,,,,0,13,1,999,,1,,,,United Kingdom,1,0,4,2,4,4,1,0,.3307189,.29166666,.375
1988,United Kingdom,Permitted period,,,1,,1,0,0,0,1,1,1,1,0,.a,0,0,0,1,1,0,0,0,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,,,,United Kingdom,1,0,4,2,5,5,1,0,.3656235,.29166666,.45833334
1989,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,0,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,2,5,5,1,1,.5204165,.54166669,.5
1990,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,1,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,3,5,5,1,1,.54006171,.58333331,.5
1991,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,1,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,3,5,5,1,1,.54006171,.58333331,.5
1992,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,1,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,3,5,5,1,1,.54006171,.58333331,.5
1993,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,1,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,3,5,5,1,1,.54006171,.58333331,.5
1994,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,1,1,26,1,0,26,1,,,,,,,,,,0,26,1,999,,1,999,,1,United Kingdom,4,3,4,3,5,5,1,1,.54006171,.58333331,.5
1995,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,2,1,2,1,0,26,1,,,,,,,,,,0,26,1,1,,1,1,,1,United Kingdom,5,0,4,6,5,5,1,6,.66536331,.625,.70833331
1996,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,2,1,2,1,0,26,1,,,,,,,,,,0,26,1,1,,1,1,,1,United Kingdom,5,0,4,6,5,5,1,6,.66536331,.625,.70833331
1997,United Kingdom,Permitted period,13,,1,2,1,0,0,1,0,0,1,1,0,.a,0,0,0,0,1,1,0,2,1,2,1,0,26,1,,,,,,,,,,0,26,1,1,,1,1,,1,United Kingdom,5,0,4,6,5,5,1,6,.66536331,.625,.70833331
